"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belize","BLZ","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968868728.86802","1070571291.04961","1199422659.80994","1274705187.5882","1276718440.11876","1284940169.53385","1303298400.96399","1349502660.33019","1399986969.20065","1522911025.4161","1721479771.42345","1807823395.35499","1900357910.46917","2077647026.18111","2174217873.66041","2230269401.96822","2332451433.13959","2358238692.61078","2434388609.27347","2451751903.75782","2533244977.32671","2586543205.39028","2685471985.1572","2726443567.20319","2824140623.72062","",
"Bermuda","BMU","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2405862615.04608","2320830206.06248","2319443808.08995","2389225839.37538","2403551951.75845","2509287755.91646","2574541182.92306","2692970077.33757","2797995910.35374","2892642283.03342","3162154264.8163","3390538833.08688","3340433776.56587","3454366158.62813","3534551202.2428","3593726911.16702","3792958312.94401","3900901738.61185","3960503378.69618","3751223364.15495","3672668487.99025","3550019929.12843","3378392789.57695","3293556129.34525","","",
"Bolivia","BOL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25417776632.4564","26756409461.5555","27196953753.7","28358071900.9118","29681618623.7114","31070206990.6145","32425284447.5046","34031700724.5445","35743275683.2884","35895858516.7361","36796058736.6003","37415630452.4579","38345620543.5803","39385300629.1259","41028965643.0596","42843033921.6179","44898218039.119","46947545075.714","49834113567.8222","51507045387.6761","53632598252.0909","56423688392.2173","59313864685.5243","63344841872.5948","66803831147.3381","",
"Brazil","BRA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540902664834.26","1564200146023.68","1556896688914.18","1629528550432.72","1716456593462.13","1792267870001.4","1831832819922.61","1894024068799.76","1900432616229.82","1909346910676.76","1987870041760.65","2020825308466.19","2082524357036.46","2106271778913.64","2227611583861.75","2298940854598.06","2389990453791.59","2535117454379.05","2664250430852.84","2660889547949.26","2861222530432.3","2973103637563.73","3030052207414.51","3121412539125.01","3124639185581.25","",
"Barbados","BRB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3462053519.42463","3325290682.87851","3137730221.32955","3161175279.02317","3223695432.87282","3290123096.33808","3422978423.2686","3583186317.50834","3716041644.43886","3727764173.28567","3895787086.75661","3802006855.98213","3833266932.90696","3915324634.83463","3970029769.45308","4130237663.69282","4364688240.62902","4438930923.32549","4458468471.40351","4278723029.08575","4290445557.93256","4321705634.85739","4333428163.7042","4333428163.7042","4341243182.9354","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19803145735.6828","20426141044.1256","21398135469.5353","21463308476.831","22138414819.4361","23129929595.5671","23795682516.4","23445607162.3986","23314661407.1961","24026261404.698","24710870925.094","25388947309.3154","26372032039.7007","27137864017.8508","27274725255.2175","27380416699.9815","28584530804.8808","28628717190.005","28073401809.3891","27578036605.3473","28294780375.7683","29265239981.1196","29542778248.765","29025200429.4985","28346010739.4483","",
"Bhutan","BTN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1249305959.57901","1244210339.29313","1301455106.18781","1327306775.60057","1393028419.3093","1491572883.40635","1574581492.73243","1659196959.50421","1757322379.29636","1897626506.3928","2029189412.06141","2195659522.64461","2431206376.61147","2617542154.5688","2771883124.6013","2969312153.57852","3172691208.63935","3741422280.73992","3919826548.16105","4180778173.88848","4671219172.59607","5039821055.27253","5295426154.38932","5408880477.24548","5704141381.14037","",
"Botswana","BWA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11175476858.1555","12009023168.9199","12359334817.9322","12596152915.0454","13053130764.6723","13970819409.3003","14785290250.18","15972038820.8066","16087355847.8275","17642559266.5807","17993239685.7304","18038326042.1596","19133167809.2959","20018248022.5146","20559906128.8014","21496748198.5702","23294708501.917","25223544724.0125","26798027959.4668","24747359731.8464","26866632486.5685","28491611416.5336","29868195815.0274","32652569218.2356","34096152612.3727","",
"Central African Republic","CAF","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2749151238.97569","2733964187.22362","2558331747.45191","2566905888.9219","2692684253.87996","2886557582.51263","2771095240.17258","2917963361.13406","3055107459.94825","3165091418.04328","3086298046.55476","3224094546.22492","3340693539.11959","3160380633.08807","3349845190.5422","3380264669.22903","3503283019.46974","3664698956.03647","3739976510.70508","3803900973.39253","3919792783.02502","4049174939.83364","4215707633.81583","2696068179.01855","2723307341.17344","",
"Canada","CAN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","866052940472.385","847690508483.912","854932974633.882","877224246554.712","917173108771.29","942289838778.726","958116580946.869","998868614701.83","1040203665586.32","1092185307111.55","1148139297323.83","1167524184880.98","1200236672179.92","1223345038360.59","1261743248803.14","1301653823285.57","1335780344862.1","1362606968645.73","1378623408977.7","1341242433083.27","1386499362539.4","1427541164477.25","1454990833548.14","1484141694694.32","1520344453698.25","",
