Data Type,Index,Index.1,Index.2,Index.3,Index.4,Index.5,Index.6,Index.7,Index.8,Index.9,USD,USD.1,USD.2,USD.3,USD.4,USD.5,USD.6,USD.7,USD.8,USD.9,USD.10,USD.11,USD.12,USD.13,USD.14,USD.15,USD.16,USD.17,USD.18,USD.19,USD.20,USD.21,USD.22,USD.23,USD.24,USD.25,USD.26,USD.27,USD.28,USD.29,USD.30,USD.31,USD.32,USD.33,USD.34,USD.35,USD.36,USD.37,USD.38,USD.39,USD.40,USD.41,USD.42,USD.43,USD.44,USD.45,USD.46,USD.47,USD.48,USD.49,USD.50,USD.51,USD.52
2004M1,71.96019146340647,91.80786033886231,97.48628241123248,98.67974003406273,86.46955990175186,86.07219135727564,100.16401227402925,75.89350294394139,60.34861662925145,58.74420833949429,1608.89285714286,435.710698141637,98.5483089778838,107.06,40.4464285714286,1626.39785347296,73.7309,41.1356,688.63,2421.47619047619,76.2421052631579,711.988222727273,910,72.4375,16.39,164.66032317,753.559523809524,160.504,199.064990525,115.086413095238,3.39,5.14,6.15052631666667,15089.3333333333,31.4,31.18,28.68,34.24,4525.79775,718.267414628,467.689473684211,52.9425,69.5833333333333,207.454545454545,57.5193445961874,3.23,538.461538462,275.438,10.802638,278.4769062453,643.528578,300.93799319375,30.29273510476484,6.03052631578947,20.5815789473684,720.5,202.82,6432.4880952381,14.8,145.21765133333335,613.51187,729.36425,1015.8880952381
2004M2,73.0087721649683,94.66727598771472,100.15761689097977,101.80109096315269,84.98682451569817,89.12158431213098,100.92407958546815,80.59650280585635,60.33779606637717,58.65405261733261,1685.225,497.237569060773,95.5673766069196,99.5,44.7321428571429,1566.08602785803,77.5052631578947,39.0968421052632,683.49,2751.7175,73.9157894736842,733.6156,910,69.5422222222222,16.39,163.20628403,885.1525,172.771,198.996984195,122.906528994361,3.39,5.2,5.37631578888889,15099.35,31.32,30.87,28.4,34.73,4669.089325,831.053703646,501.610526315789,61.0288888888889,71.5909090909091,213.25,58.8444055697904,3.31988472622478,552.447552448,303.419,10.802638,286.3915014511,704.817014,316.57859255,31.052531885313574,5.87315789473684,20.6457894736842,755.5,198.1,6662.7,16.05,141.7338594736842,611.92919,721.51687,1085.7875
2004M3,76.51457110683853,96.87720701938542,104.74656606363992,107.11383358885551,82.89448775594273,88.92851317453714,99.36761550078674,81.38822647053279,64.60172269109431,63.02499372683872,1657.35434782609,512.250780687005,103.029470059649,97.25,52.4330357142857,1504.4284072765,77.47,38.6745454545455,696.37,3000.28260869565,72.275,729.210182608696,910,67.2826086956521,16.39,160.47081196,878.141304347826,159.406,195.196323714,128.430240799689,3.39,5.29,5.39608695555556,13786.5434782609,33.67,33.8,30.46,36.73,4673.58070869565,934.723226067,520.571052631579,65.3495652173913,73.0892857142857,240.347826086957,61.257406854948,3.45480631276901,552.447552448,307.375,11.0965873333333,331.4098953515,738.327238,360.7213707625,30.39205368528462,6.49608695652174,21.1291304347826,756.04347826087,191.78,7602.20652173913,17.1388888888889,140.9998269565217,587.685441666667,708.745591666667,1101.79565217391
2004M4,77.06672784911731,97.0473001889236,106.13392931253135,109.04990914255174,79.21672671057067,87.8690643784768,96.9217013499303,81.33023794889121,65.3773998777195,63.162914700745226,1731.68,530.198392767453,112.531128357598,102.1,57.0535714285714,1435.66806573637,74.3447368421052,38.0563157894737,661.68,2926.975,69.4394736842105,713.129409090909,910,63.6586363636364,16.39,159.10675012,747.025,176.756,197.959146188,133.392632738095,3.48,5.5,5.71523809444444,12725.9,33.71,33.36,31.07,36.72,4565.23865454546,858.924701048,516.33947368421,65.2845454545455,74.75,253.409090909091,62.907144809091,3.60838150289017,552.447552448,299.186,11.243562,343.7116895711,719.367506,363.54632483125,29.979727859374105,6.86047619047619,21.0461904761905,706.909090909091,177.95,8909,17.75,144.18548833333335,554.6315,706.117616666667,1028.9125
2004M5,81.05719481230358,96.52906115821969,106.34787470382247,109.24048863880618,79.64636101856902,86.61125942179649,99.86023665740179,77.04136693783397,72.00561626033506,70.36700166252255,1625.27368421053,558.405682715075,111.559518338306,114.625,60.46875,1413.04178223907,75.8083333333333,37.9305555555556,742.96,2728.46315789474,70.0394736842105,704.233666666667,910,62.935,16.39,158.18875853,804.1,177.857,188.432977504,129.304899821429,3.48,5.47,6.335,11228.6052631579,37.63,37.92,34.47,40.29,4570.70378571429,872.75104318,481.136842105263,78.8715789473684,76.5909090909091,251.571428571429,62.0998169807821,3.47730600292826,587.412587413,344.084,11.243562,331.6524038397,679.463884,347.905725475,29.697376628696965,6.6225,20.7545,638.619047619048,186.62,9391.63157894737,17.75,141.32532791666665,533.0883125,676.93425,1030.97894736842
2004M6,79.14525730805846,95.81992282668043,103.17172150936209,105.45426089247829,82.10176266061916,88.39400711881093,100.65801083856219,79.53557261976687,69.38999951335505,66.64247241469816,1682.04090909091,596.433952787544,114.04805049381,116.75,63.8035714285714,1404.7135395142,82.157,41.0405,749.29,2689.05454545455,64.6342857142857,679.410045454545,910,65.1019047619047,16.39,164.20947863,863.727272727273,175.408,198.616062306,123.227197406463,3.48,5.88,6.26714285833333,13599.3636363636,35.54,35.19,33.41,38.03,4636.37476363636,920.821754958,408.984210526316,78.3604761904762,79.625,244.227272727273,62.7838562349914,3.20790629575403,590.909090909,343.056,9.92079,311.6785229025,624.789308,320.68970456875,30.388663622920788,7.51428571428571,20.03,583.772727272727,186.59,9158.63636363636,17.88125,136.8614098412698,560.591022222222,708.149944444444,1018.86363636364
2004M7,81.44545621542821,95.2001982142156,100.44646933504829,102.3586075482841,82.79565736483654,89.9010369061528,100.93452703487227,81.93141688363922,73.3984549758559,70.96233239056167,1707.86818181818,602.71220492215,103.969350414106,120.3,65.7589285714286,1567.86437901554,73.9631578947368,36.7147368421053,876.53,2816.8,57.0159090909091,666.615004545455,910,67.6628571428571,16.39,167.8554529,931.340909090909,180.904,200.446122044,104.48042869898,3.81,5.73,5.93476190555556,15020.0681818182,37.93,38.37,34.48,40.82,4649.90890909091,994.181475867,386.626315789474,78.6619047619048,80.9375,240.318181818182,59.288645318366,3.11432706222865,594.405594406,347.297,9.479866,291.01018584,575.846744,289.82191376875,30.620340668892855,8.16571428571429,20.3609523809524,688.954545454546,190.73,9021.90909090909,17.9,129.8053533333333,553.04916,717.637513333333,988.104545454545
2004M8,84.60885490274667,92.94306373240843,96.4940215310678,97.52329970810757,86.9928278191197,89.35630701705341,101.21310851570784,80.79199948387462,79.73305361261303,78.82519227483981,1692.1,557.508789552988,87.7722919755341,126.75,63.4821428571429,1727.33360265832,73.1685714285714,34.9252380952381,722.35,2844.20476190476,53.4714285714286,663.67625,910,68.8672727272727,16.39,164.92552797,916.619047619048,184.6,198.645730615,104.039453571429,3.81,5.9,5.40772727222222,13639.619047619,42.08,43.03,38.3,44.92,4669.54691818182,935.59182502,393.710526315789,76.0336363636364,80.1041666666667,252.545454545455,57.1364927619202,3.35380116959064,594.405594406,355.266,9.479866,212.1508347226,520.069858,225.81258865,30.255652639787026,7.87909090909091,20.1,727.227272727273,206.45,9021.42857142857,17.9,121.93051750000001,528.97478,714.34984,976.8
2004M9,83.63187974831739,92.18619752498492,94.71982250672124,95.54635492788066,87.09016046023105,89.62702984891037,100.20814036629615,81.984168953944,78.62730708831344,77.72547369019675,1731.02272727273,520.467101958815,85.3714688083837,127.875,59.3303571428571,1541.13666739243,80.9884210526316,35.0347368421053,711.72,2903.17272727273,56.6785714285714,663.495772727273,910,68.2023809523809,16.39,163.31138838,932.159090909091,180.476,199.271416318,97.75502542517,3.81,6.44,5.16714285833333,13430.3636363636,41.65,43.38,35.48,45.93,4569.17528181818,901.296375453,401.639473684211,74.8804761904762,78.1590909090909,252,57.5371210057866,3.26461988304094,594.405594406,342.715,9.590097,182.6860534063,508.826296,206.4742851875,29.81024195470503,8.67428571428571,20.7790476190476,766.090909090909,240.73,9015.68181818182,18.6,125.67208849206347,500.932136363636,703.604581818182,980.027272727273
2004M10,89.22494709323131,91.59530200511253,91.52576327227139,92.61394682743892,81.48081820063086,91.66554179142862,99.59055261198017,85.94121302715983,87.83820723901839,87.3840292158477,1830.36666666667,492.633517495396,87.8883844395501,119.5,60.6696428571429,1483.8020496912,79.8090476190476,31.7542857142857,651.96,3009.40476190476,52.5222222222222,667.143138095238,910,67.2180952380952,16.39,168.81107726,932.857142857143,171.615,197.956189053,93.368281547619,4.34,6.66,6.37857142777778,14378.4761904762,46.87,49.77,37.58,53.25,4547.85557142857,921.198981448,381.605263157895,72.6961904761905,76,253.523809523809,58.5710510250598,3.19242424242424,601.398601399,349.496,9.590097,171.4424780443,458.120036,193.45193594375,30.03016692219067,8.96380952380952,20.4347619047619,752,201.76,9043.21428571429,20.08,123.05628936507938,508.8577625,718.958088888889,1066.95238095238
2004M11,84.51258773359716,91.89853599848557,92.62623926640008,93.08121058286831,88.42643137425456,91.16349640326325,97.47956401621485,86.60132628986412,80.1915517702753,78.60510073144518,1817.35,497.237569060773,95.5333377094733,118.375,56.5982142857143,1665.70854675731,89.5089473684211,34.0210526315789,671.38,3130.30909090909,49.2425,691.628218181818,910,66.5,16.39,172.31665154,966.309090909091,170.98,202.129806103,93.7533303101503,4.34,6.94,6.187,14089.5136363636,42.23,43.05,34.88,48.45,4670.35610454545,715.340330933,386.665789473684,75.8121052631579,74.7083333333333,262.318181818182,57.1540910097684,3.2280701754386,608.391608392,327.983,9.590097,170.1307275854,460.986042,195.84051499375,30.925015787095038,8.666,20.445,824.045454545455,192.5,9038.65,20.2,127.13308666666664,537.860990909091,736.027145454545,1100.23181818182
2004M12,81.58204707206141,92.39092931641751,94.50694337813212,94.53277130558517,94.26852761514023,90.25358269728683,94.175624679563,87.42064552632525,75.2584759846217,73.02034273529232,1852.92380952381,497.237569060773,92.0438849058409,116.8,55.9821428571429,1672.74882933391,102.573125,38.958125,702.05,3139.78571428571,48.5952380952381,690.632456521739,910,66.0921052631579,16.39,182.10404009,972.338095238095,172.895,190.351068398,95.5897736394558,4.34,6.54,6.58190476111111,13764.9761904762,39.09,39.65,34.26,43.23,4823.58285652174,686.127756768,370.092105263158,72.1790476190476,73.5961538461539,278.434782608696,54.969047836499,3.66884176182708,608.391608392,292.367,9.810559,175.7194459271,451.285714,198.61953485,32.07132573111617,8.79523809523809,20.5461904761905,893.217391304348,201.78,8473.71428571429,20.5,123.55457304347827,547.296925,717.9566,1182.1380952381
2005M1,86.60532392178334,95.02696885856108,94.92026637904779,94.88279959100761,95.26611963706405,95.13474705718785,97.8979765932979,93.13883378034879,81.67836947571207,80.38072858734188,1836.21,588.989739542226,90.7148026752963,115.25,56.8339285714286,1549.88552243834,107.105263157895,39.6336842105263,744.1,3168.1,51.2605263157895,700.231428571429,910,65.8435294117647,28.11,181.6146824,954.225,184.314,191.434935087,95.9846274553571,5.06,5.82,6.152,14563.75,42.89,44.28,37.81,46.82,5351.36686666667,640.12466938,346.631578947368,72.0845,73.4375,288.380952380952,54.2086260661782,3.69,636.363636364,328.988,10.031021,175.1793133852,434.8172026,195.6647954625,31.232033978644846,8.922,20.623,1088.66666666667,236.67,7705.65,20.5357142857143,122.39140396825397,556.936871428571,730.768971428571,1245.55
2005M2,88.88714862952132,97.44928968446568,98.43567219308903,97.56701108473455,106.45422115742053,96.45296297845714,97.4127119106103,95.75972500778413,83.87799908032551,83.19952417102377,1882.8,890.193370165746,87.3756336221018,117.375,53.4616071428571,1719.46118677666,122.23125,44.613125,728.62,3247.1,52.165,707.8575,910,66.013,28.11,174.7844147,972.975,179.081,191.024583159,94.3593936090225,5.06,6.1,6.13842105277778,15415.6,44.56,45.56,39.82,47.96,5579.545325,742.358258384,347.565789473684,69.228947368421,73.75,292.35,57.6491382124928,3.88888888888889,636.363636364,316.346,10.3837602,178.545424027632,443.256255894737,197.58924675,31.387840797960642,9.32368421052632,20.36,1095.1,258.1,8106.325,21.2,123.12996087719296,549.33289,734.6554,1323.105
2005M3,97.3141085589814,101.98143810959358,103.46650565886468,102.5957597567188,111.50429920653927,100.48139887873732,101.49336343444031,99.75044494746835,94.58355885600776,95.37412282064643,1987.51904761905,817.018976699496,94.1686419754265,120,54.5625,1763.91375952424,134.690476190476,50.6571428571429,716.53,3378.90476190476,56.2357142857143,714.027717391304,910,65.8333333333333,28.11,171.85138483,1001.69047619048,179.164,193.654027702,99.9437106717687,5.06,6.46,6.65,16239.9047619048,50.93,53.08,45.58,54.17,5645.15557391304,1109.06192902,374.828375286041,69.4490476190476,73.875,295,60.313709072472,3.98064516129032,646.853146853,359.518,10.471945,207.640377262318,513.095242,233.180530704545,31.687875119274324,8.895,20.6013636363636,1164.5652173913,241.52,8442.23809523809,21.8444444444444,130.63172275362317,545.18313,728.58308,1373.95714285714
2005M4,96.61242250387458,99.2686306853949,100.42113588917337,100.16040111682476,102.82796004496132,98.10450652129065,98.64577666325246,97.71354071530871,95.058448570293,94.942247983156,1892.00952380952,594.2515127598,93.3272375466296,118.2,54.9107142857143,1585.950389068,128.794736842105,53.2763157894737,714.29,3389.80952380952,56.9547619047619,710.505357142857,800.47619047619,64.6,28.11,167.50463875,980.480952380952,183.785,194.146215334,96.3911980017007,5.51,7.04,7.17571428611111,16138.3333333333,50.64,51.86,47.1,52.96,5619.98732380952,1174.96604532,375.842105263158,68.9965,74,299.142857142857,60.2811558939392,3.97626582278481,643.356643357,325.815,10.471945,210.268506933238,498.622054857143,228.7645265,31.50525216741812,8.52571428571428,21.2142857142857,1161.28571428571,190.71,8133.80952380952,23.1444444444444,120.06430507936504,543.690555555556,729.1754,1297.80952380952
2005M5,93.5486699423609,98.84099535824278,100.88645199744433,100.68813156953613,102.71713377485396,96.77491748500151,99.24945865328334,94.98752722034347,90.4524759762672,89.70585659104626,1741.45,613.385233550979,88.8948334494037,121.45,54.9776785714286,1509.4646700262,126.157142857143,58.5138095238095,681.71,3241.9,55.84,695.98125,758.181818181818,64.5011111111111,28.11,164.53044465,985.29,171.359,202.520772601,95.2686414914966,5.51,7.22,6.473809525,17002.25,47.81,48.67,45,49.81,5487.49253181818,1095.67832289,370.157894736842,74.9233333333333,74.2884615384615,295.272727272727,61.9611413207447,4.00470957613815,657.342657343,334.517,10.471945,218.010931610619,501.414573523809,233.462471,30.88723507906125,8.51142857142857,21.8914285714286,1160.86363636364,200.32,8099.25,28.25,119.15446190476189,543.494185714286,717.127085714286,1245.535
